ITEM DESCRIPTION,LABELS
BEANCURD TAU KUA (2PCS),"tofu | tofu, firm | tofu, plain | tofu, soy bean curd"
TURBOBLEACH 5L (401),Bleach
Sing Ghee Tau Kwa,"tofu | tofu, firm | tofu, plain | tofu, soy bean curd"
[ CHILL ] Kimchi,"white cabbage| white cabbage, raw | cabbage | chilli"
Scissor,Office Stationary | Stationary
[Hey-Chill] Pao 50g,burger buns
GFP  Karana Masak Merah,"plant protein patty, baked and fried"
GFP Karana Buah Keluak,"plant protein patty, baked and fried"
GFP Sambazon Acai,acai berry
GFP Beyond Mala,"black pepper, ground | black pepper, powder | chilli | dry peppers, pimento or chilli"
GFP Tindle Katsu,"plant protein patty, baked and fried | curry powder | curry sauce, prepacked"
GFP Fable Rendang,"plant protein patty, baked and fried | coconut"
GFP Teriyaki Fable Chix,"plant protein patty, baked and fried | soy sauce, glass bottle | soy sauce, prepacked"
kizami Takuwan,"radish | radish, pickled"
YAKI NORI FULL A+,"seaweed, agar, raw"
SAKURA DENBU,"cod (f) | whitefish, raw"
Kimchi,"white cabbage| white cabbage, raw | cabbage | chilli"
TP JRT SCOTT A2 2PLY 200MM X 16,"seaweed, agar, raw"
Kizami Ippon (Shredded Takuan),"radish | radish, pickled"
Alchemy Fiber Rise (R500c),"basmati rice, raw | brown rice flour, consumer package | rice | wild rice, raw"
Shicimi Tongarashi,"seaweed, agar, raw | chilli | sesame seed | sesame seed, grilled, husked | white sesame seeds, toasted"
FURIKAKE Okaka,"seaweed, agar, raw | sesame seed | sesame seed, grilled, husked | white sesame seeds, toasted | cane sugar | table salt"
Kani Fumi,"crab claws, meat, raw | crab, boiled"
kizami nori,"seaweed, agar, raw"
[KNORR] HAO CHI ALL-IN-ONE SEASONING,cane sugar | table salt | corn flour | dry onion | garlic
Multi Purpose Cleaner: ECO-CLEAN ELITE 257,Multipurpose cleaner
GFP  Karana Jackfruit Meatballs,"plant protein patty, baked and fried"
Goji Berries,other berries
[Kitchen Use: Blue Cloth] WYPALL *X80 BLUE WIPER,Wypall *X Wiper
[Kitchen Use: Thrash Bag Large (36 x 48)] 030 Black Thrash Bag,Trash Bag
[Kitchen Use: Thrash Bag Medium (30 x 40)] 030 Black Thrash Bag,Trash Bag
[ BOOSTER ] Green Booster 50ml,"apple | apple and spinach, blended | apple, green | kale, fresh | spinach"
[ BOOSTER ] Turmeric Booster 50ml,"ginger | honey | turmeric, powder"
[CHILL/FROZEN] SELVA ACAI (SWEETNED),acai berry
Pea Sprouts,"bean sprouts, mung, raw | lentils, sprouted"
[ COOKED ITEM ]  Herbed Fable,"plant protein patty, baked and fried | provence herbs, dried"
[COOKED ITEM] Teriyaki Fable,"plant protein patty, baked and fried | soy sauce, glass bottle | soy sauce, prepacked"
(SS) Energy Pack-30g,"dry broad beans | edamame beans | honey | sugar, brown | sunflower seed"
(SS) Omega 3 Mix-30g,"almond | brazil nuts | peanut, grilled, salted | pecan nut, salted"
[ Frozen ] Sambazon Acai Original  (SWT),acai berry
[DRY ITEM] Furikake,"seaweed, agar, raw | sesame seed | sesame seed, grilled, husked | white sesame seeds, toasted | cane sugar | table salt"
[PASTRY] Vegan Choco Pear Loaf,"coconut | milk chocolate | oat milk cream | pear | wheat flour, consumer package"
[FROZEN] Organic Acai with Guarana 100g,acai berry
"Masking tape 2"" (pk/6)",PVC Embossed Tape
Nissho Double-sided EVA Foam Tape,PVC Embossed Tape
Pk8 batteries AA,generic battery
Scotch tape,Packaging Scotch Tape
Grain Bowl Lids T,"PP plastic container lid, 2oz | PET plastic lid, large | Bagasse bowl lid"
Grain Bowl T,"PET plastic bowl, large | Bagasse bowl | PET bowl"
[DRESSING ] Yuzu Soy,"soy sauce, glass bottle | soy sauce, prepacked"
"SIGNATURE TORTILLA TOMATO 12""","corn tortilla wrap, to be filled | tortilla, wheat | wheat tortilla wrap, to be filled"
[Serviette] 33x21CM NAPKIN SCOTT LUNCHEON (WHITE) 1 PLY 36261 6000PCS(250x24S),tesco toilet tissue (Blue)
[DRY ITEM] Goji Berries,other berries
(SS) Trail Mix -30gm,mix of unsalted grains/nuts and raisins
[Wrap Paper for Normal Wraps] SALAD STOP GP WRAP (2K),"Deli wrap, waxed"
[ FRESH ] Blue Pea Flower,"tea, leaves"
[ FRESH ] Tatsoi ( Bak Choy)500gm,leafy or stem vegetables | other vegetables
[Fresh] Pea Sprout 500gm,"bean sprouts, average values, raw"
[DRESSING] Cashew nut and mint dressing ( Vegan),"salad dressing, prepacked"
"Mop Head ""Normal""",Wooden mop stick | Broom head
Mirancho Brand 12inch Plain,"corn tortilla wrap, to be filled"
[Soup Cup] 12oz SOUP CUP -SALAD STOP(500),"PP plastic container lid, 2oz | PET plastic lid, large"
[ DRY ITEM ]Cacao Nibs,cocoa
[Serviette] L1/30/33 QF SCOTT (100s*60p),tesco toilet tissue (Blue)
[COOKED ITEM] Karana Jackfruit Meatballs,"vegan balls, soy based"
[COOKED ITEM] Plant-Based Chicken,vegan fillet pieces
Jasmine Hibiscus kombucha,"still soft drink with tea extract, flavoured, with sugar"
[GnG Salad Bowl ] OP-LT-16 OPS L156*W129*H58 16OZ SALAD BOX (SET) rectangles,"PET plastic bowl, large | PP plastic container, 2oz"
Double sided tape 18mm,Packaging Scotch Tape | PVC Embossed Tape
10oz PLA Dessert Cup Printed,smoothie cup
Plateau Lid Dessert Cup,smoothie cup
16oz Round Cold Cup (smoosha),smoothie cup
SaladStop Paper bags with Handle,Paper Box
"3.5""X5.5"" ZIPBAG",HDPE plastic bag
[Kitchen Use: Thrash Bag Small (19 x 19)] 030 White Thrash Bag,Trash Bag
HAND KLEEN (Apple scent),Dish washing liquid
"[Yogurt / Smoothies Cup Lid]  FL92_PLATIC CLEAR FLAT LID FOR 12OZ CUP (CUP: HF92-12) 1,000 PCS/CS",smoothie cup lid
10oz Dessert Cup (blank),smoothie cup
[Paper bag] Die Cut Handle D BG KRAFT BROWN,Paper Box
Dressing cup base 2oz,dressing cup base 2oz
[DRY GOOD ] SS Energy Pack-30gm,energy drink
"Ruler 12""",Stationary
LEMON YELLOW,lemon
[Dressing Cup Lid] PL-RT78_RPET LID FOR 3-4OZ PORTION CUP 200'S X 12PKTS/CS (CUP:GC-RT325R&GC-RT4R),"dressing cup lid, 2oz"
[Dressing Cup] GC-RT325R_RPET PORTION CUP WITH ROLL RIM 3.25OZ 200'S X 12PKTS/CS (LID:PL-RT78),"dressing cup lid, 2oz"
[Hey-Frozen] Impossible Patty (Raw),"vegan burgers, soy based"
[Hey-Sauce] Smoky Sriracha,"barbecue sauce, prepacked"
[Hey-Sauce] Tzatziki,yogurt sauce
Degreaser: ECO-CLEAN ELITE 505,Multipurpose cleaner | Chemical Disinfectant
Floor Cleaner: ECO-CLEAN ELITE 315,Floor cleaner | Chemical Disinfectant
Spray Sanitizer: 22 MULTI QUAT SANITIZER 14680,Hand sanitiser
Yuzu Lavender kombucha 300ml glass bottle,"still soft drink with tea extract, flavoured, with sugar"
Strawberry Mint kombucha 300ml glass bottle,"still soft drink with tea extract, flavoured, with sugar"
23CM COCKTAIL NAPKIN 2 PLY WHITE,tesco toilet tissue (Blue)
16oz Cold Cup (heybo printed),"dressing cup lid, 2oz"
Omega 3 Mix,"almond | brazil nuts | peanut, grilled, salted | pecan nut, salted"
GFP Asam Pedas Rempah Paste,spice mix
CON MS TP200 (LID-C20) 100SX30PKT,"PP plastic container lid, 2oz | PET plastic lid, large"
"FORK PLASTIC BLACK 7"" 50SX40PKT","Fork, cornstarch, biodegradable"
"SPOON PLASTIC BLACK 7"" 50SX40PKT","Spoon, cornstarch, biodegradable"
COOKING PAPER OZUKI 80S (2018) 2ROLLX6PACK,"Kitchen roll, 1-ply virgin pulp | tesco recycled kitchen towel"
PB-PAPER BAG NO 1 GP 210X105X40 500SX6PKT,Paper Box
Kani Fumi,"surimi, on sticks, in slices or grated, crab flavour"
GFP [FROZEN] Organic Acai with Guarana 100g,acai berry | other berries
"ALKALINE: Green Apple, Celery, Cucumber","apple juice | mixed fruits juice, pure juice | mixed fruits juice, pure juice, multivitamin"
"HEAL: Orange, Carrot, Ginger, Tumeric","orange juice | orange juice, freshly squeezed, 1l | mixed fruits juice, orange based, multivitamin"
"HYDRATE: Watermelon, Pineapple, Lime","pineapple juice (i) | mixed fruits juice, pure juice | mixed fruits juice, pure juice, multivitamin"
"REBOOT: Beetroot, Apple, Carrot",beetroot juice
SPROUTS ALFALFA,"alfalfa seeds, sprouted, raw"
Bean Haricot Fine,"haricot bean, canned, drained | haricot bean, dry| haricot beans with tomato sauce, canned"
WILD ROCKET PLAIN (1.5 Kg / Ctn),"rocket | roman rocket, raw"
[Kitchen Use: Green Cloth] WYPALL *X80 GREEN WIPER,Wypall *X Wiper
[Kitchen Use: Tissue Roll] PREMIUM CENTER PULL 300M (6),"Kitchen roll, 1-ply virgin pulp"
"[Kitchen Use] Cling Wrap Small: CF126 12"" x 300m",cling wrap
[Smoothie Cup Lid] D92mm EC LID (1K) CLEAR,"PET plastic lid, large"
"[TA Fork] 8"" BIOCORN FORK (100*10p) DLF-01- PIECE","Fork, cornstarch, biodegradable"
[COOKED ITEM] Grilled Tofu,"tofu | tofu, firm, | tofu, plain | tofu, soy bean curd"
[CHILL/FROZEN] Kale,"curly kale, raw | kale, raw"
[DRESSING] Basil Pesto,"pesto | pesto without garlic | dressing | salad dressing, (50-75% of oil), prepacked | salad dressing, prepacked | salad dressing, reduced fat, prepacked"
[DRESSING] Honey Dijon,"mustard sauce prepacked  | dressing | salad dressing, (50-75% of oil), prepacked | salad dressing, prepacked | salad dressing, reduced fat, prepacked"
[DRESSING] Indian Spice Yogurt V2,"indian-style sauce, tandoori or garam masala type, prepacked | yogurt sauce"
[DRESSING] Japanese Miso,"miso | dressing | salad dressing, (50-75% of oil), prepacked | salad dressing, prepacked | salad dressing, reduced fat, prepacked"
[DRESSING] Lemon and Oil,"lemons and limes | lemon zest, raw | dressing | salad dressing, (50-75% of oil), prepacked | salad dressing, prepacked | salad dressing, reduced fat, prepacked"
[DRESSING] Sesame Lime,"sesame oil | sesame | sesame seed | dressing | salad dressing, (50-75% of oil), prepacked | salad dressing, prepacked | salad dressing, reduced fat, prepacked"
[DRESSING] Thai Turmeric Dressing,"turmeric, powder | dressing | salad dressing, (50-75% of oil), prepacked | salad dressing, prepacked | salad dressing, reduced fat, prepacked"
[DRESSING] Wasabi Honey Soy,"horseradish, fresh | soy oil | soy sauce, glass bottle | soy sauce, prepacked | dressing | salad dressing, (50-75% of oil), prepacked | salad dressing, prepacked | salad dressing, reduced fat, prepacked"
[DRY GOOD] Hela Croutons,"croutons | croutons, plain, prepacked"
[PASTRY] Banana Acai Loaf,"sandwich loaf | sandwich loaf, bran grain | sandwich loaf, crust less, prepacked | sandwich loaf, multigrain | sandwich loaf, wholemeal | sandwich made with loaf bread, various filling"
[ BOOSTER ] Lemon Pineapple Booster 50ml,"pineapple juice (i) | mixed fruits juice, pure juice | mixed fruits juice, pure juice, multivitamin"
[COOKED ITEM] Falafel,"falafel | falafel, fried | falafel mince | falafel, frost | naturli' organic falafel 350 g"
GENTLE-FLORAL 5L HAND SOAP (103),pure soap (125g) 1| pure soap (4x125g)
"SALADSTOP! Die Cut Bag - L 0.04mm x W(10""+5"") x H15 Transparent HDPE Die-Cut Bag with Oxium (Biodegradable)",HDPE Die-Cut Bag with Oxium | HDPE plastic bag
"SALADSTOP! Die Cut Bag - S   0.04mm x W(8""+3"") x H12.25  Transparent HDPE Die-Cut Bag with Oxium (Biodegradable)",HDPE Die-Cut Bag with Oxium | HDPE plastic bag
Smoked Turkey Ham,"turkey, breast, boiled/smoked, sliced | cured ham, raw, smoked |cured ham, raw, smoked, reduced fat | turkey cooked ham, in slices"
[DRESSING] Mixed Berries Vinaigrette,"vinaigrette | dressing | salad dressing, (50-75% of oil), prepacked | salad dressing, prepacked | salad dressing, reduced fat, prepacked"
[COOKED ITEM] Sous Vide Chicken,"chicken, sous vide"
[CHILL] White Radish Pickles,"radish, pickled"
BIR - TEASDALE WHOLE BLACK BEAN IN BRINE A10,"black beans | black beans, brined"
[Salad / GrainBowl Lid]  32oz PET Lid Salad Stop 300pcs  (50x6S),"PET plastic lid, large"
[Salad Bowl] TPPL0054_32oz PET Bowl Salad Stop  300pcs (50x6S),"PET plastic bowl, large | PET bowl"
[DRESSING] Korean Chili Vinaigrette (New),"vinaigrette | dressing | salad dressing, (50-75% of oil), prepacked | salad dressing, prepacked | salad dressing, reduced fat, prepacked | chili sauce"
Powder Free Vinyl Gloves Blue (L),PVC vinyl gloves
Powder Free Vinyl Gloves Blue (M),PVC vinyl gloves
[DRY GOOD] SS Granola Nuts  (Vegan),granola | granola bar
[DRY GOOD] CHA SOBA 1kg,cha soba
[PASTRY] Crispy Cracker,"cracker, baked | flavored crackers | plain crackers | prawn crackers | salty snacks, crackers, garnished or filled with cheese | salty snacks, crackers, reduced fat | wholegrain crackers"
LETTUCE ROCKET LEAF (BABY),"mesclun or salads, mix of baby leaves | baby spinach | rocket | roman rocket, raw"
Conventional Black Chia Seed,chia seeds
F/SQUEEZED LEMON JUICE,lemon juice
TABASCO RED SAUCE,"harissa (hot spicy sauce), prepacked | sauce, pepper, prepacked"
[ NON FOOD ] 4 PLY FACE MASK,4 ply face mask
[PACKAGING] Pastry Bag,HDPE Die-Cut Bag with Oxium | HDPE plastic bag | LDPE plastic bag
[PACKAGING] G&G Salad Bowl 16OZ PET SALAD BOWL (250s),"PET plastic bowl, large | PET bowl"
[SMOOTHIE] Yellow Mellow,"smoothie | smoothie, strawberry blueberry"
[PACKAGING] Kraft Sticker With Tail,Carbon Footprint OPP Packaging Tape (701A)
Pomelo peeled meat,"pomelo, peeled | pomelo"
YOWE CORN OIL,maize/corn oil
Alkaline Water 500ml,alkaline water
[PASTRY] Vegan Raspberry Loaf,"sandwich loaf | sandwich loaf, bran grain | sandwich loaf, crust less, prepacked | sandwich loaf, multigrain | sandwich loaf, wholemeal | sandwich made with loaf bread, various filling"
Casa Fiesta Black Bean Whole,"black beans | black beans, brined"
[DRY GOOD] GINGEN Instant Ginger (Box) - Strong Ginger,"ginger | ginger root, raw | ginger, powder"
[Granola Cup Lids] PL-RT65_RPET LID FOR 2OZ PORTION CUP 200'S X 12PKTS/CS (CUP:GC-RT2R) 90012,"PET plastic lid, large"
[Granola Cup] RPET PORTION CUP WITH ROLL RIM 2OZ 200'S X 12PKTS/CS (LID:PL-RT65) 90011,"PET bowl | PET plastic bowl, large"
(SS) Protein Pack-30g,protein bar
[ COOKED ITEM ] Mushroom Medley,mushrooms
[ COOKED ITEM ]  Fish Patty,"fish cake, fried"
[DRESSING] Laksa Vinaigrette,"dressing | salad dressing, prepacked"
SS Special Blend Almond Nut Butter,almond paste
"SOFT BROOM ""HEAD ONLY""",Broom head
[PACKAGING] Kraft Sticker Round,Carbon Footprint OPP Packaging Tape (701A)
[PASTRY]Vegan Apple Loaf,"sandwich made with loaf bread, various filling"
BAG SALADSTOP (250) PRINTED,LDPE plastic bag | HDPE plastic bag
La Costena Nacho Sliced Jalapeno Peppers,"jalapeno peppers, pickled"
[DRESSING] Arabic Spiced Vinaigrette,"dressing | salad dressing, prepacked"
New Kale Seasonal Blend,"curly kale, raw | kale, fresh | kale, raw"
"BROOM STICK ""PLASTIC""",Wooden mop stick
[DRESSING ] Cinnamon Apple Mustard Vinaigrette,"dressing | salad dressing, prepacked"
SS Seafood Chowder 2kg/pkt,"soup, chicken and vegetables, prepacked, to be reheated"
[DRY GOOD ] Croutons (B&B),"croutons | crouton with garlic, herbs or onions, prepacked | croutons, plain, prepacked"
[Frozen] Fresh Frozen Spirulina,"spirulina, (spirulina sp.), dried"
Round Yellow Corn Chips,corn chips or tortilla chips
[DRY GOOD ] Broth Powder,"broth, stock or bouillon, vegetables, dehydrated and reconstituted"
[DRESSING ] Ginger Coriander Dressing,"dressing | salad dressing, prepacked"
[DRESSING ] Smoky Jalapeno Dressing,"dressing | salad dressing, prepacked"
[Smoothie Cup] 12oz EC CLEAR CUP (50s*20p),"PET plastic bowl, large"
[Granola Cup] 70ML SC CON (C20) (3000),"PET plastic bowl, large"
SS Seafood Chowder (5 pkt / ctn ),"soup, chicken and vegetables, prepacked, to be reheated"
Strawberry Mint kombucha,"tea | icetea, peach"
[Coffee Cup Holder] BROWN 4 CUP TRAY (250s),Corrugated Box | Cardboard Box | Carton Box
GF MINI MUFFIN - Banana,"english muffin, prepacked"
GF MINI MUFFINS - Chocolate,"english muffin, prepacked"
Sapporito Chili Crushed/ Flakes,"chilli | dry peppers, pimento or chilli"
Fresh Frozen Spirulina,"spirulina, (spirulina sp.), dried"
Creamy Mushroom Medley,"cream sauce with mushrooms, prepacked"
Wholemeal fusilli San Remo,"dried pasta, wholemeal, raw"
GF MINI MUFFINS - Lemon Coconut,"english muffin, prepacked"
HONEY PINEAPPLE,"pineapple, in light syrup, canned, drained"
2oz PLA Sauce Container (granola/dressing),"PP plastic container, 2oz"
GF MINI MUFFINS - Orange Chia,"english muffin, prepacked"
[Soup Cup Lid] 8/12/16 UNICUP LID (500),"PET plastic lid, large"
[DRY ITEM ] Banana Chips,"banana, pulp, dried"
[POWER BOX LIDS] 800/1000ML BAGASSE PULP CONTAINER LID,"PET plastic lid, large"
[POWER BOX] 1000ML BAGASSE PULP CONTAINER - 2 COMPARTMENT,"Bagasse bowl, large"
Power Box Lid,"PET plastic lid, large"
Power Boxes,"PP plastic container, 2oz"
Almonds with Honey,sugar-coated almond
Mixed Nuts with Salt & pepper,mix of salted grains/nuts and raisins
HONEY MELON,"cantaloupe (melon), whole fruit | cantaloupe and other melons"
Chamomile Citron Tea Forte - Forte Filter bag,tea in bags
Forte Breakfast Tea Forte - Forte Filter bag,tea in bags
Moroccan Mint Gree Tea Forte - Forte Filter bag,tea in bags
[DRY GOOD ](SS) Baked Almonds -30g,"almond | almond, grilled, salted"
Dressing Cup Lid 2oz,"PP plastic container, 2oz | PET plastic lid, large"
Forest Feast Slow Roasted Peanuts and Almonds with Serrano Chilli & Honey,"mix of salted grains/nuts and raisins | almond, grilled, salted | peanuts, roasted, salted"
Forest Feast Slow Roasted Pitmaster smoked almonds and peanuts with Irish Sea salt,"mix of salted grains/nuts and raisins | almond, grilled, salted | peanuts, roasted, salted"
[Hey-Dip] Edamame & Avocado,edamame beans | avocado
"Lemongrass, Ginger & Turmeric kombucha","tea | icetea, peach"
[Hey-Frozen] Plant Protein Patty,"plant protein patty, baked and fried"
[Hey-Sauce] Pineapple Tamarind,pineapple
GFP Impossible Pork Roulade (xmas),"plant protein patty, baked and fried"
850CC PP BOWL LID CLEAR PP-C850 600PCS(50X12S),"PET plastic lid, large"
SMOKED DUCK CHEST BLACK PEPPER 12PKT/CTN,"duck breast fillet, smoked"
[ Wooshi - Sauce ] Tangy Thai Pesto,"dressing | salad dressing, prepacked | sauce, pesto, prepacked"
Epson T664100 Ink bottle black 70ml,Toner Cartridge | Toner Black Original
[COOKED ITEM] Soft Boiled Egg (Harajuku),"soft boiled egg, harajuku egg |  egg, soft-boiled |  egg, hard-boiled |  boiled egg, peeled |  dried egg pasta, raw"
A1 EXTRA LARGE BROWN EGG,"egg |  kampung egg, small |  egg, powder |  egg yolk, powder |  egg white, powder"
COOKED & PEELED FRESH EGG (20PCS/PKT),"boiled egg, peeled |  egg white, cooked |  egg yolk, cooked |  egg, raw |  egg white, raw"
EGG FRESH WHITE SHELL ( KAMPUNG EGG) SIZE 60-65G,"kampung egg, small |  egg white, cooked |  egg white, raw |  egg white, powder |  egg yolk, cooked"
EGG PASTEURISED LIQUID WHITE,"egg white, powder |  egg white, raw |  egg yolk, powder |  egg white, cooked |  egg, powder"
KISCO - Mushroom Soup (V),"mushroom soup |  mushroom sauce, prepacked |  mushroom, canned |  pumpkin soup |  soup, mushrooms, prepacked, to be reheated"
KISCO - Pumpkin & Ginger Soup (V),"pumpkin soup |  soup, pumpkin, prepacked, to be reheated |  mushroom soup |  soup, pumpkin, dehydrated and reconstituted |  pumpkin, raw"
KISCO - Tomato Soup (V),"tomato soup |  soup, tomato, ready to eat |  soup, tomatoes, prepacked, to be reheated |  soup, tomatoes, dehydrated and reconstituted |  tomato ketchup, bottled"
Lime,"lime |  lime juice |  lime, raw |  lime, pulp, raw |  served lime hard seltzer"
Orange 'A' (100% Pure),"orange |  orange |  orange, raw |  orange, pulp, raw |  orange juice"
BANANA DELMONTE/DOLE,banana |  banana |  banana |  banana |  banana
CARROT SHREDDED 3MM,"carrot, raw |  carrot, raw |  carrot, cooked |  carrot |  carrot"
CUCUMBER JAPANESE,cucumber |  cucumber |  cucumber |  cucumber |  cucumber
HERB DILL,"dill, fresh |  dill, raw"
LETTUCE ROMAINE CUT 4CM X 5CM,"lettuce, romaine |  lettuce |  lettuce |  lettuce, fresh |  lettuce, fresh"
Lime Seedless,"lime |  lime juice |  lime, raw |  grapes, seedless |  lime, pulp, raw"
MINT LEAF,"mint, fresh |  mint |  true gum mint |  wake up tea tree & mint shower creme 250 ml |  syrup (mint, strawberries flavoured etc.), with sugar diluted in water"
ONION RED PEELED,"onion, peeled |  red onion |  onion, dried |  onion, raw |  onion, raw"
PARSLEY CHINESE / CORIANDER,"chinese parsley, coriander |  coriander, seed |  parsley, fresh |  coriander, fresh |  parsley, raw"
POTATO LOCAL,potato |  potato |  potato |  potato |  potato
TOMATO CHERRY RED,cherry tomato |  tomato |  tomato |  tomato |  tomato
BEETROOT,"beetroot |  beetroot |  beetroot, fresh |  beetroot, fresh |  beetroot juice"
Broccoli China,"broccoli |  broccoli |  broccoli, fresh |  broccoli, fresh |  broccoli, fresh origin: esp"
CABBAGE RED SLICED 1MM,"red cabbage, raw |  cabbage, red |  red cabbage, fresh |  cabbage, red, raw |  white cabbage, raw"
CABBAGE ROUND SLICED 1MM,"white cabbage, raw |  cabbage |  green cabbage, raw |  white cabbage |  red cabbage, raw"
CAPSICUM GREEN,"capsicum, green |  capsicum, red |  chillies and peppers, green |  chillies and peppers, green |  chillies and peppers, green"
CAPSICUM RED,"capsicum, red |  capsicum, green |  sweet pepper, red, raw |  sweet pepper, red, cooked |  pepper, sweet, red, raw"
SPINACH BABY PLAIN (3.0 Kg / Ctn),baby spinach |  spinach |  spinach |  spinach |  spinach
AVOCADO,avocado |  avocado |  avocado |  avocado |  avocado
BANANA,banana |  banana |  banana |  banana |  banana
GREEN APPLE,"green apple |  apple, green |  apple |  apple |  apple"
SEEDLESS GRAPE,"grapes, seedless |  grape, raw |  grape, raw |  grape, white, raw |  grape, red, raw"
[COOKED ITEM] CK Roasted Pumpkin,"pumpkin, roasted |  pumpkin, cooked |  pumpkin, raw |  pumpkin, raw |  pumpkin soup"
[COOKED ITEM] Haloumi Cheese,"haloumi cheese |  firm cheese, around 27% fat, maasdam-type cheese |  processed cheese with fresh cream cheese and walnuts |  processed cheese, in slices |  tomme cheese, from mountain or savoy"
[COOKED ITEM] Oven Baked Mushroom,"brown mushrooms, baked |  mushroom sauce, prepacked |  mushroom, canned |  mushroom, raw |  dauphine potato, frozen, cooked"
